country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Europe,1961,,612306138,,87.269,0.143,4109.329,144.84,3.653,4881.957,94.643,1.977,7.976,1.007,,6.714,0.848,,2862.131,4.676,,,,1051.157,151909.016,272751.25,138809.469,0,915.098,132773.688,11133.298,,,,0,0,156.501,0.256,,,772.701,1.262,,,,,1003.428,1.639,,,,53.139,43.631,31.447,57.899,48.074,47.976,35.773,56.214,0,7.848,29.48,20.413,,0,17.744,12.655,30.283,,,,,
Europe,1962,,618273685,,93.813,0.152,4336.349,227.02,5.524,4915.883,33.927,0.695,7.954,0.966,,7.016,0.852,,2907.216,4.704,,,,1144.969,156245.375,277667.156,141716.688,0.319,1102.778,133353.266,12280.619,,,,0.319,0.001,187.68,0.304,,,579.572,0.938,,,,,1147.321,1.856,,,,53.169,44.471,31.424,58.984,48.454,47.871,35.685,56.268,0.028,8.733,29.226,21.136,,0.371,19.395,9.835,32.211,,,,,
Europe,1963,,623943385,,98.303,0.158,4609.368,273.019,6.296,5072.827,156.943,3.193,8.133,0.951,,7.39,0.864,,3002.523,4.814,,,,1243.272,160854.734,282739.969,144719.219,0.769,1322.399,133816.75,13569.089,,,,0.451,0.001,219.621,0.352,,,463.496,0.743,,,,,1288.47,2.066,,,,52.834,44.875,31.856,58.763,48.774,47.78,35.608,56.318,0.062,9.67,28.969,21.918,,0.498,20.98,8.2,33.845,,,,,
Europe,1964,,629557545,,109.858,0.175,4839.143,229.775,4.985,5284.099,211.272,4.165,8.396,0.934,,7.689,0.855,,3021.598,4.801,,,,1353.13,165693.875,288024.062,147740.797,1.301,1582.048,134261.75,15016.595,,,,0.531,0.001,259.65,0.413,,,444.993,0.707,,,,,1447.505,2.3,,,,53.272,44.684,32.407,57.938,49.111,47.684,35.544,56.35,0.096,10.669,28.725,22.747,,0.471,22.522,8.127,35.24,,,,,
Europe,1965,,634885240,,114.815,0.181,4981.444,142.302,2.941,5339.233,55.135,1.043,8.413,0.904,0.44,7.849,0.843,0.41,2981.803,4.698,,,,1467.945,170675.328,293363.312,150722.609,1.707,1880.004,134619.578,16603.057,,30301.602,,0.407,0.001,297.956,0.469,,,357.826,0.564,,,,,1586.463,2.5,,,19238.039,53.035,44.015,32.588,56.333,49.397,47.568,35.485,56.35,0.115,11.707,28.492,23.574,,0.312,24.213,7.062,35.955,,,,,
Europe,1966,,639887369,,122.368,0.191,5152.955,171.511,3.443,5504.992,165.758,3.105,8.606,0.892,0.441,8.056,0.835,0.413,2945.149,4.604,,,,1590.313,175828.281,298868.312,153667.766,1.927,2212.598,134971.641,18355.682,,31318.604,,0.22,0,332.594,0.52,,,352.074,0.55,,,,,1752.624,2.74,,,20040.379,52.507,43.423,32.935,55.036,49.623,47.435,35.435,56.324,0.118,12.717,28.277,24.412,,0.152,24.823,7.263,36.805,,,,,
Europe,1967,,644742383,,128.254,0.199,5266.813,113.859,2.21,5586.424,81.433,1.479,8.668,0.87,0.434,8.172,0.82,0.41,2881.986,4.472,,,,1718.567,181095.109,304454.719,156549.75,2.191,2585.706,135291.297,20238.883,,32240.98,,0.264,0,373.108,0.579,,,319.647,0.496,,,,,1883.202,2.922,,,20787.127,53.46,43.015,32.538,54.727,49.89,47.294,35.377,56.294,0.12,13.731,28.054,25.214,,0.138,26.038,6.49,37.092,,,,,
Europe,1968,,649242974,,134.926,0.208,5512.286,245.473,4.661,5867.511,281.086,5.032,9.041,0.867,0.428,8.493,0.814,0.402,2895.639,4.462,,,,1853.493,186607.391,310322.219,159445.391,2.656,3009.924,135646.562,22295.922,,33788.48,,0.465,0.001,424.218,0.654,,,355.261,0.547,,,,,2057.038,3.17,,,21936.934,52.829,42.695,32.801,54.396,50.093,47.144,35.325,56.258,0.131,14.761,27.841,25.986,,0.228,27.201,7.137,37.196,,,,,
Europe,1969,,653377711,,140.664,0.215,5812.373,300.086,5.444,6063.577,196.066,3.342,9.284,0.853,0.413,8.899,0.818,0.396,2953.801,4.523,,,,1994.157,192419.75,316385.812,162399.188,4.481,3484.303,135897.734,24537.627,,35653.93,,1.825,0.003,474.379,0.726,,,251.167,0.385,,,,,2241.704,3.432,,,23295.482,51.946,42.218,32.895,53.493,50.219,46.978,35.275,56.205,0.197,15.767,27.628,26.736,,0.748,27.766,5.383,37.484,,,,,
Europe,1970,,657164251,,148.421,0.226,6094.25,281.878,4.85,6414.521,350.944,5.788,9.765,0.85,0.41,9.277,0.807,0.39,2926.773,4.455,,,,2142.578,198514,322800.312,165325.969,7.775,3985.085,136217.953,27052.605,,37587.516,,3.294,0.005,500.783,0.762,,,320.234,0.487,,,,,2514.98,3.828,,,24701.172,51.462,40.905,32.899,51.381,50.303,46.765,35.224,56.112,0.305,16.681,27.436,27.442,,1.186,27.966,6.964,36.978,,,,,
